DMY;DMY2;Family;Harvest;ID;Group;Days;Season
5232.417408;5979.416578;117F;1;F1000;5;0;Spring
3628.001078;3424.194745;118F;1;F1001;2;0;Spring
5484.088609;5530.134861;119F;1;F1002;3;0;Spring
2576.478419;2757.781447;120F;1;F1003;1;0;Spring
4333.474349;4489.981025;121F;1;F1004;6;0;Spring
3012.254843;2872.023179;122F;1;F1005;5;0;Spring
3546.133026;3697.134553;123F;1;F1006;6;0;Spring
3071.382103;3427.8358;124F;1;F1007;6;0;Spring
4222.558964;4174.626968;125F;1;F1008;6;0;Spring
3580.557762;3313.779356;126F;1;F1009;3;0;Spring
3376.318082;3743.580233;127F;1;F1010;1;0;Spring
3888.972845;3865.27556;128F;1;F1011;6;0;Spring
2372.63134;2350.534628;129F;1;F1012;4;0;Spring
2996.196268;3064.925063;130F;1;F1013;1;0;Spring
2955.327432;2998.87798;131F;1;F1014;3;0;Spring
2621.361488;2714.094193;132F;1;F1015;4;0;Spring
2600.652924;2821.507538;133F;1;F1016;2;0;Spring
3447.304168;3553.701209;134F;1;F1017;4;0;Spring
3937.58345;3805.675118;135F;1;F1018;5;0;Spring
3620.594153;3715.97188;136F;1;F1019;2;0;Spring
2570.072914;3169.287838;137F;1;F1020;1;0;Spring
3583.258853;4012.590509;138F;1;F1021;4;0;Spring
3075.263991;3413.59166;139F;1;F1022;5;0;Spring
3197.909088;3383.673611;140F;1;F1023;2;0;Spring
3863.813702;4100.29824;141F;1;F1024;1;0;Spring
4273.448762;4430.229695;144F;1;F1027;4;0;Spring
2514.039848;2414.300383;145F;1;F1028;5;0;Spring
2859.757991;3126.86125;146F;1;F1029;2;0;Spring
2799.449962;3067.641194;147F;1;F1030;3;0;Spring
3521.115175;3497.869134;148F;1;F1031;1;0;Spring
5159.636205;5066.489882;149F;1;F1032;4;0;Spring
3660.978985;4150.339158;1H;1;F1033;6;0;Spring
2712.733433;2974.424063;2H;1;F1034;6;0;Spring
2871.096143;3019.615686;3H;1;F1035;6;0;Spring
3496.260369;3607.891347;4H;1;F1036;6;0;Spring
3244.777651;3395.305848;5H;1;F1037;6;0;Spring
2509.157682;2612.968523;6H;1;F1038;6;0;Spring
2998.367318;3228.728706;7H;1;F1039;6;0;Spring
3961.724224;4023.238757;8H;1;F1040;6;0;Spring
2741.394786;3224.245645;9H;1;F1041;6;0;Spring
1548.723166;1576.418189;11H;1;F1043;6;0;Spring
2390.625884;2755.8483;12H;1;F1044;6;0;Spring
2468.596655;2494.92246;13H;1;F1045;6;0;Spring
2597.18397;2799.252789;14H;1;F1046;6;0;Spring
2704.193701;2769.081201;15H;1;F1047;6;0;Spring
4737.368043;4343.124978;16H;1;F1048;6;0;Spring
3280.265463;3290.778056;17H;1;F1049;6;0;Spring
1088.802718;918.9194379;18H;1;F1050;6;0;Spring
3663.362795;3743.527336;19H;1;F1051;6;0;Spring
3896.790604;3770.281891;20H;1;F1052;6;0;Spring
2034.20353;2028.339747;21H;1;F1053;6;0;Spring
3104.074776;3043.599539;22H;1;F1054;6;0;Spring
2682.985751;2263.462035;23H;1;F1055;6;0;Spring
2376.616495;2210.710982;24H;1;F1056;6;0;Spring
2221.864988;2334.117076;25H;1;F1057;6;0;Spring
2151.86834;2466.036249;26H;1;F1058;6;0;Spring
3923.875609;3905.84364;27H;1;F1059;6;0;Spring
3895.511006;3695.579325;28H;1;F1060;6;0;Spring
3384.852309;3623.607246;29H;1;F1061;6;0;Spring
3655.039048;3910.27178;30H;1;F1062;6;0;Spring
3587.829615;3354.002326;31H;1;F1063;6;0;Spring
2841.326983;2756.754065;32H;1;F1064;6;0;Spring
3579.916768;3869.904037;33H;1;F1065;6;0;Spring
2795.647554;3043.707936;34H;1;F1066;6;0;Spring
1581.065106;1739.908737;35H;1;F1067;6;0;Spring
2523.682536;2574.496317;36H;1;F1068;6;0;Spring
4181.087051;4659.596135;1F;1;F884;4;0;Spring
2649.061573;2940.814554;2F;1;F885;5;0;Spring
2513.527485;2719.117007;3F;1;F886;2;0;Spring
4030.688228;4364.571754;4F;1;F887;1;0;Spring
2662.768176;2763.366261;5F;1;F888;3;0;Spring
2368.3762;2432.567005;6F;1;F889;6;0;Spring
1446.622738;1601.701316;7F;1;F890;5;0;Spring
