1;2;3;4;5;6;7;8;9;10;11
0.70165;0.17038;-0.35192;-0.50365;-0.38448;-0.21465;0.07192;0.19811;0.11618;0.02655;0.16991
0.17038;0.64167;0.46285;0.24937;0.32697;0.23116;-0.16799;-0.35325;-0.45259;-0.52816;-0.58039
-0.35192;0.46285;0.88576;0.82266;0.71331;0.46704;-0.06111;-0.55901;-0.76669;-0.78395;-0.82893
-0.50365;0.24937;0.82266;1.00114;0.91856;0.57581;-0.06187;-0.62045;-0.80604;-0.77964;-0.79591
-0.38448;0.32697;0.71331;0.91856;1.10063;0.79237;-0.09784;-0.73662;-0.90376;-0.86016;-0.86897
-0.21465;0.23116;0.46704;0.57581;0.79237;0.93105;0.31585;-0.48648;-0.88784;-0.91471;-0.80959
0.07192;-0.16799;-0.06111;-0.06187;-0.09784;0.31585;0.8375;0.32647;-0.37214;-0.57583;-0.21497
0.19811;-0.35325;-0.55901;-0.62045;-0.73662;-0.48648;0.32647;0.79777;0.53192;0.34522;0.55631
0.11618;-0.45259;-0.76669;-0.80604;-0.90376;-0.88784;-0.37214;0.53192;1.22903;1.31831;0.99362
0.02655;-0.52816;-0.78395;-0.77964;-0.86016;-0.91471;-0.57583;0.34522;1.31831;1.62364;1.12874
0.16991;-0.58039;-0.82893;-0.79591;-0.86897;-0.80959;-0.21497;0.55631;0.99362;1.12874;1.25017
